Category,Item,Vendor/Contractor,Contract Value (USD),Payment Status,Contract Number,Start Date,Completion Date,Notes
Recovery Operations,Recovery Personnel Training,U.S. Navy,"$8,000,000",Paid,Interagency Agreement,2024-11-01,2025-09-15,Specialized Orion recovery training
Recovery Operations,Recovery Equipment,Various,"$12,000,000",Paid,Multiple,2024-06-01,2025-09-01,Orion recovery cradle and handling equipment
Recovery Operations,Helicopter Support,U.S. Navy,"$5,000,000",Paid,Interagency Agreement,2025-10-01,2025-10-15,MH-60 helicopter operations
EVA Systems,Axiom EMU Suits (2 units),Axiom Space,"$140,000,000",Paid,NNM20AA18C,2020-06-01,2025-07-30,Next-generation lunar EVA suits
EVA Systems,Suit Maintenance & Logistics,Axiom Space,"$18,000,000",Paid,NNM20AA18C (addon),2024-01-01,2025-09-30,Spares and mission support
Scientific Instruments,Portable Geological Tools,NASA Ames Research Center,"$22,000,000",Paid,Internal,2023-04-01,2025-07-15,Hammers drills sample containers
Scientific Instruments,Seismic Monitoring Equipment,Jet Propulsion Laboratory,"$28,000,000",Paid,Internal,2022-09-01,2025-06-30,Lunar seismometer array
Scientific Instruments,Ice Drilling System,Honeybee Robotics,"$18,000,000",Paid,NNM21AA72D,2021-10-01,2025-05-20,ISRU demonstration equipment
Scientific Instruments,Sample Analysis Equipment,Goddard Space Flight Center,"$12,000,000",Paid,Internal,2023-01-01,2025-06-15,Portable spectrometers and analyzers
Scientific Instruments,Cameras & Imaging Systems,Malin Space Science Systems,"$8,000,000",Paid,NNM22AA33E,2022-06-01,2025-07-01,4K video and high-resolution still cameras
Scientific Instruments,Radiation Monitoring,Langley Research Center,"$7,000,000",Paid,Internal,2022-11-01,2025-06-20,Surface and crew radiation dosimeters
Habitat Systems,Lunar Surface Habitat Alpha,Lockheed Martin Space,"$55,000,000",Paid,NNM20AA94C,2020-12-01,2025-07-31,Inflatable habitat module 40 cubic meters
Habitat Systems,Environmental Control (Habitat),Paragon Space Development,"$12,000,000",Paid,NNM21AA23D,2021-05-01,2025-06-25,Life support for habitat
Habitat Systems,Power Systems (Solar Arrays),Orbital ATK,"$8,000,000",Paid,NNM21AA56E,2021-07-15,2025-06-10,Deployable solar panels for habitat
Sample Return,Cryogenic Sample Containers,Sierra Space,"$22,000,000",Paid,NNM21AA88B,2021-11-01,2025-07-20,Preserve ice samples at <-80°C
Sample Return,Sample Handling Tools,Various,"$8,000,000",Paid,Multiple,2022-02-01,2025-06-30,Specialized collection and stowage tools
Sample Return,Return Containers,Lockheed Martin,"$10,000,000",Paid,NNM22AA11C,2022-04-01,2025-07-01,Pristine sample return containers for Orion
Communications,Lunar Relay Communications,Jet Propulsion Laboratory,"$38,000,000",Paid,Internal,2023-01-01,2025-10-31,Gateway and direct-to-Earth links
Communications,Ground Stations Upgrade,NASA GSFC / DSN,"$32,000,000",Paid,Internal,2022-06-01,2025-08-31,Enhanced ground station capabilities
Program Management,Program Integration,NASA HQ Artemis Program Office,"$55,000,000",Paid,Internal,2021-01-01,2025-12-31,Overall program management
Program Management,Systems Engineering,Various Contractors,"$28,000,000",Paid,Multiple,2021-06-01,2025-10-31,Systems integration and testing
Program Management,Safety & Mission Assurance,NASA Safety Centers,"$17,000,000",Paid,Internal,2022-01-01,2025-10-31,Safety reviews and risk management
Public Affairs,Public Outreach & Education,NASA Office of Communications,"$12,000,000",Paid,Internal,2024-01-01,2026-06-30,Media events educational materials
Insurance,Mission Insurance,Various Insurers,"$28,000,000",Paid,Multiple,2024-06-01,2025-10-31,Comprehensive mission coverage
Contingency Reserve,Unallocated Contingency,NASA (Reserve),"$145,000,000",Reserved,N/A,2021-01-01,2025-12-31,Program contingency (3% of total budget)
TOTAL,,,,"$4,870,000,000",,,,
